PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40080018,"Area Socioeconomic Status, Vaccination Access, and Female Human Papillomavirus Vaccination.",2025 Mar 3,"Oka E, Okada M, Ikuno Y, Amano K, Shioya S, Kawabata M, Sakurai R, Konishi M, Nakaya T, Katanoda K, Ueda Y, Ito Y",,N/A
40079944,Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial.,2025 Mar 13,"Haddad R, Fayette J, Teixeira M, Prabhash K, Mesia R, Kawecki A, Dechaphunkul A, Dinis J, Guo Y, Masuda M, Hsieh CY, Ghi MG, Vaz de Melo Sette C, Harrington K, Tahara M, Saba NF, Lau A, Jiang T, Yan Y, Ballinger M, Kaul M, Matheny C, Cuchelkar V, Wong DJ",,N/A
40079941,"Prognostic significance of Ki-67 in assessing the risk of progression, relapse or metastasis in pheochromocytomas and paragangliomas.",2025 Dec,"Luo Z, Yan X, Liu Y, Nan F, Lei Y, Ren Y, Li L",,N/A
40079916,XL888 and pembrolizumab modulate the immune landscape of colorectal tumors in a phase Ib/II clinical trial.,2025 Dec,"Phillips MJ, Alese OB, Horvat NK, Greene E, Gbolahan OB, Coleman K, Doxie DB, Parihar V, Mahdi ZK, McCook-Veal A, Switchenko JM, Diab M, Herting CJ, Paulos CM, El-Rayes BF, Lesinski GB",,N/A
40079734,EBV enhances immunotherapy sensitivity in intrahepatic cholangiocarcinoma through cGAS-STING pathway activation.,2025 Apr 1,"Huang L, Zhong Q, Huang S, Yang K, Cai Y, Guo G",,N/A
40079683,Evaluation of hyperprogressive disease with atezolizumab plus bevacizumab for hepatocellular carcinoma: A secondary analysis of the IMbrave150 trial.,2025 Mar 13,"Gao Y, Cheng AL, Li LX, Parent N, Kichenadasse G, Karapetis CS, Rowland A, Hopkins AM, Sorich MJ",,N/A
40079417,"Involvement of the disulfidptosis-related immune checkpoint gene, CD276, in glioblastoma malignant phenotype and poor prognosis.",2025 Mar 13,"Zhuo J, Zhang J, Xu Y, Ji M, Shen H, Cui G",,N/A
40079116,Intratumoral Injection of R848 and Poly(I:C) Synergistically Promoted Antitumour Immune Responses by Reprogramming Macrophage Polarization and Activating DCs in Lung Cancer.,2025 Mar 13,"Chen S, Li L, Yuan H, Gui H, Wan Q, Wang M, Lv H, Wang C, Zhu L, Nie Y, Zhang X",,N/A
40079041,Surgical management of oligometastatic recurrence in primary esophageal melanoma: a feasible approach in resource-limited settings.,2025 Mar,"Kondratskyi Y, Pepenin M, Horodetskyi A, Dobrzhanskyi O, Kolesnyk A, Shudrak Y, Krotevych M",,N/A
40079009,The role of tumor-associated macrophages in lung cancer.,2025,"Zhu R, Huang J, Qian F",,N/A
