PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40080038,Cervical Disc Arthroplasty Versus Anterior Cervical Discectomy and Fusion in the Treatment of Degenerative Cervical Myelopathy: Patient Characteristics and Surgical Outcomes in a National Administrative Database.,2025 Mar 13,"de Leeuw CN, Ryu WHA, Yoo J, Orina JN",,N/A
40079933,Canagliflozin prevents acute kidney Injury in euglycemics rats.,2025 Mar 13,"Ventura S, Oliveira Silva E, Victoria CDP, Vieira GHF, Villalba JPG, Lima C, Volpini RA, Vattimo MFF",,N/A
40079823,Influence of carnosine supplementation on disease progression in a rat model of focal segmental glomerulosclerosis.,2025 Mar 13,"Xu X, Pastene DO, Qiu J, Schnell B, Maihöfer T, Hettler S, Krämer BK, Hoffmann S, Yard B",,N/A
40079809,"Personalising Antidepressant Treatment for Unipolar Depression Combining Individual Choices, Risks and big Data: The PETRUSHKA Tool: Personnalisation du traitement antidépresseur de la dépression unipolaire associant choix individuels, risques et mégadonnées: l'outil PETRUSHKA.",2025 Mar 13,"Ostinelli EG, Jaquiery M, Liu Q, Elgarf R, Haque N, Potts J, Li Z, Efthimiou O, Markham S, Ede R, Wainwright L, Fernandes KBP, Fernandes BBP, Dalaqua PVC, Tomlinson A, Smith KA, Zangani C, De Crescenzo F, Liboni M, Mulsant BH, Cipriani A, PETRUSHKA Team",,N/A
40079716,[Foot Ulcers in Orthopedics].,2024 Dec,"Waibel F, Schöni M",,N/A
40079685,Correspondence between the Diabetes Eating Problems Survey-Revised and eating disorder diagnosis: Examining the current cut-off for clinically significant eating disorder symptoms.,2025 Mar 13,"Moskovich AA, Murphy C, Schram S, Scheiber F, Merwin RM",,N/A
40079549,The application of 3D printing technology in the treatment of diabetic foot ulcers: an integrated strategy for glycemic control and wound care.,2025 Mar 13,"Liao YJ, Chen CY, Lin HT, Pei D, Liang YJ",,N/A
40079357,Musculoskeletal disease in acromegaly - a population-based registry study.,2025 Mar 13,"Rosendal C, Christiansen Arlien-Søborg M, Nielsen EH, Feltoft CL, Rasmussen ÅK, Andersen MS, Jørgensen JOL, Dal J",,N/A
40079308,Metabolic Syndrome and Efficacy of Remote Ischemic Postconditioning in Acute Moderate Ischemic Stroke: A Post Hoc Analysis of the RICAMIS Trial.,2025 Mar 13,"Zhang YN, Wu Q, Cui Y, Zhang NN, Chen HS",,N/A
40079223,The influence of sodium-glucose co-transporter-2 inhibitors on the risk of cancer therapy-related cardiac dysfunction: A meta-analysis.,2025 Mar 10,"Yan Z, Xing X, Huang J",,N/A
